,company_name
0,Better.com
1,DoorDash
2,Robinhood
3,Samsara
4,Databricks
5,Outreach
6,Brooklinen
7,Attentive
8,Loom
9,Verkada
10,Nuvia
11,Dutchie
12,BrightInsight
13,Brex
14,Capsule
15,Modern
16,Curative
17,Nuro
18,Quibi
19,Deliverr
20,Drift
21,Confluent
22,Instabase
23,Upkey
24,FIG
25,Unqork
26,Cameo
27,A
28,NTWRK
29,Tula
30,Guild
31,MasterClass
32,FullStory
33,Mindstrong
34,Alyce
35,Chief
36,Trella
37,P.volve
38,Ridgeline
39,Carbon
40,Seamless.AI
41,Front
42,Hawke
43,Sana
44,Bungalow
45,Sendoso
46,Harness
47,Rubrik
48,Alto
49,Lattice
